"","value","IdNumber","Nome","Paises","Rating","Flag","data"
"65","2102650        Almeida, Carlos Bruno Gomes                                  BRA M                                1843  0   20 1975  i   ","2102650","Almeida, Carlos","BRA","1843","i","DEC23"
"66","2185814        Almeida, Dayane De Melo                                      BRA F                                1280  0   40 1998  wi  ","2185814","Almeida, Dayane","BRA","1280",NA,"DEC23"
"67","2171465        Almeida, Diego Leonardo Pontes                               BRA M                                1991  0   40 1985  i   ","2171465","Almeida, Diego","BRA","1991","i","DEC23"
"68","2107155        Almeida, Douglas De Castro                                   BRA M                                1810  0   20 1991  i   ","2107155","Almeida, Douglas","BRA","1810","i","DEC23"
"69","2121514        Almeida, Edson Soyaux De                                     BRA M                                1912  0   40 1947  i   ","2121514","Almeida, Edson","BRA","1912","i","DEC23"
"70","22701451       Almeida, Eduardo De Sant Anna                                BRA M                                1561  0   40 1978  i   ","2270145","Almeida, Eduardo","BRA","1561","i","DEC23"
"71","2124629        Almeida, Elon Mafra De Carvalho                              BRA M                                1635  0   40 1994  i   ","2124629","Almeida, Elon","BRA","1635","i","DEC23"
"72","2109905        Almeida, Fernando Medrado                                    BRA M                                1962  0   20 1988      ","2109905","Almeida, Fernando","BRA","1962",NA,"DEC23"
"73","2164914        Almeida, Flavio De Castro E                                  BRA M                                1586  0   40 1972  i   ","2164914","Almeida, Flavio","BRA","1586","i","DEC23"
"74","22705490       Almeida, Flavio Silva                                        BRA M                                1784  0   20 1989  i   ","2270549","Almeida, Flavio","BRA","1784","i","DEC23"
"75","2133580        Almeida, Gianluca Jorio                                      BRA M                                2105  0   20 2002  i   ","2133580","Almeida, Gianluca","BRA","2105","i","DEC23"
"76","2106507        Almeida, Givanildo Jose De                                   BRA M                                1835  0   40 1955  i   ","2106507","Almeida, Givanildo","BRA","1835","i","DEC23"
"77","2135655        Almeida, Heidy Jose Moreira De                               BRA M                                1847  0   20 1985  i   ","2135655","Almeida, Heidy","BRA","1847","i","DEC23"
"78","2117711        Almeida, Higor Carlos de                                     BRA M                                1740  0   40 1991  i   ","2117711","Almeida, Higor","BRA","1740","i","DEC23"
"79","2111659        Almeida, Joao Carlos Gatto De Je                             BRA M                                1906  0   40 1973  i   ","2111659","Almeida, Joao","BRA","1906","i","DEC23"
"80","22787534       Almeida, Joao Pedro Santos                                   BRA M                                1865  0   40 2005      ","2278753","Almeida, Joao","BRA","1865",NA,"DEC23"
"81","22793410       Almeida, Luis Eduardo dos Reis                               BRA M                                1777  0   40 2005  i   ","2279341","Almeida, Luis","BRA","1777","i","DEC23"
"82","2140810        Almeida, Luis Fernando Silva                                 BRA M                                1586  0   20 1966      ","2140810","Almeida, Luis","BRA","1586",NA,"DEC23"
"83","44725639       Almeida, Paulo Sergio Rezende De                             BRA M                                1509  0   40 1956      ","4472563","Almeida, Paulo","BRA","1509",NA,"DEC23"
"84","2167921        Almeida, Rafael da Paz                                       BRA M                                1459  0   40 1987  i   ","2167921","Almeida, Rafael","BRA","1459","i","DEC23"
"85","2136406        Almeida, Sergio Ribeiro De                                   BRA M                                1756  0   40 1962  i   ","2136406","Almeida, Sergio","BRA","1756","i","DEC23"
"86","2180960        Almeida, Talita Medrado                                      BRA F                                1803  0   20 1985  wi  ","2180960","Almeida, Talita","BRA","1803",NA,"DEC23"
